always-display-description||[yes/no]||no||If set to `yes`, then the description will always be displayed even if e.g. a `<content:encoded>` tag has been found.||always-display-description yes
always-download||<url> [<url>...]||n/a||Specifies one or more feed URLs that should always be downloaded, regardless of their Last-Modified timestamp and ETag header. This option can be specified multiple times.||always-download "https://www.n-tv.de/23.rss"
article-sort-order||<sortfield>[-<direction>]||date-asc||The <sortfield> specifies which article property shall be used for sorting. Currently available are: `date`, `title`, `flags`, `author`, `link`, `guid`, and `random`. The optional <direction> can be either `asc` for ascending order, or `desc` for descending order. Note that direction does not affect the `random` sorting. For `date`, `desc` order is the default, i.e. `date` is the same as `date-desc`; for all others, `asc` is the default. Also, the directions for `date` are reversed: `desc` means the newest items are first, whereas `asc` means the oldest items are first. These inconsistencies will be fixed in a future major version of Newsboat.||article-sort-order author-desc
articlelist-format||<format>||"%4i %f %D %6L  %?T?|%-17T|  ?%t"||This variable defines the format of entries in the article list. See the respective section in the documentation for more information on format strings.||articlelist-format "%4i %f %D   %?T?|%-17T|  ?%t"
articlelist-title-format||<format>||"%N %V - Articles in feed '%T' (%u unread, %t total)%?F? matching filter '%F'&? - %U" (localized)||Format of the title in article list. See "Format Strings" section of Newsboat manual for details on available formats.||articlelist-title-format "Articles in feed '%T' (%u unread)"
auto-reload||[yes/no]||no||If set to `yes`, all feeds will be automatically reloaded at start up and then continuously after a certain time has passed (see <<reload-time,`reload-time`>>). See also <<refresh-on-startup,`refresh-on-startup`>> to only reload the feeds at start up, but not continuously. Enabling <<suppress-first-reload,`suppress-first-reload`>> omits the reload on start up.||auto-reload yes
bind||<key-sequence> <dialog>[,<dialog>] <command-list> [-- "<binding description>"]||n/a||Bind sequence of keys <key-sequence> to <command-list>. This means that whenever the keys in <key-sequence> are pressed in order, then the list of commands in <command-list> is executed (if applicable in the current dialog). For more information see <<_key_bindings>>. Optionally, a description can be added. If present, the description is shown in the help form. See also <<unbind-key,`unbind-key`>> to remove a key binding.||bind of everywhere set browser "firefox" ; open-in-browser
bind-key||<key> <operation> [<dialog>]||n/a||Bind key <key> to <operation>. This means that whenever <key> is pressed, then <operation> is executed (if applicable in the current dialog). For more information see <<_old_style_key_bindings>>. See also <<unbind-key,`unbind-key`>> to remove a key binding.||bind-key ^R reload-all
bookmark-autopilot||[yes/no]||no||If set to `yes`, the configured bookmark command is executed without any further input asked from user, unless the url or the title cannot be found/guessed.||bookmark-autopilot yes
bookmark-cmd||<command>||""||If set, then <command> will be used as bookmarking plugin. See the documentation on bookmarking for further information.||bookmark-cmd "~/bin/delicious-bookmark.sh"
bookmark-interactive||[yes/no]||no||If set to `yes`, then the configured bookmark command is an interactive program.||bookmark-interactive yes
browser||<command>||%BROWSER, otherwise lynx||Set the browser command to use when opening an article in the browser. If the <<BROWSER,`BROWSER`>> environment variable is set, it will be used as the default browser, otherwise lynx will be used. For more information, see <<_using_browser,Using Browser>>.||browser "w3m %u"
cache-file||<path>||"~/.newsboat/cache.db" or "~/.local/share/cache.db" (see "Files" section)||This configuration option sets the cache file. This is especially useful if the filesystem of your home directory doesn't support proper locking (e.g. NFS).||cache-file "/tmp/testcache.db"
cleanup-on-quit||[yes/no/nudge]||nudge||If set to `yes`, then the cache gets locked and superfluous feeds and items are removed, such as feeds that can't be found in the urls configuration file anymore. Run `newsboat --cleanup` to do this manually. If you encounter a warning about unreachable feeds having been found, you may see the feed urls listed by creating a log file via the `error-log` option. With nudge, newsboat will wait for user input if the warning is printed.||cleanup-on-quit yes
color||<element> <fgcolor> <bgcolor> [<attribute> ...]||n/a||Set the foreground color, background color and optional attributes for a certain element.||color background white black
